heterogeneity,structure,tau,K,seed,shock_every,final_fitness
homogeneous,V,0.5,5,1,100,0.7294180171443272
homogeneous,V,0.5,5,1,10,0.6442256515717693
homogeneous,V,0.5,5,1,3,0.6762907552727622
homogeneous,V,0.5,5,2,100,0.6934442487896942
homogeneous,V,0.5,5,2,10,0.6262611026962337
homogeneous,V,0.5,5,2,3,0.7699324976235253
homogeneous,V,0.5,5,3,100,0.7239264487478498
homogeneous,V,0.5,5,3,10,0.6714419747375017
homogeneous,V,0.5,5,3,3,0.7283029415581355
homogeneous,V,0.5,5,4,100,0.6949227661769559
homogeneous,V,0.5,5,4,10,0.7187226965216916
homogeneous,V,0.5,5,4,3,0.6877012950568534
homogeneous,V,0.5,5,5,100,0.6654855606553001
homogeneous,V,0.5,5,5,10,0.733651609625121
homogeneous,V,0.5,5,5,3,0.6883941348287903
homogeneous,V,0.5,5,6,100,0.6722334635136473
homogeneous,V,0.5,5,6,10,0.6907116035456234
homogeneous,V,0.5,5,6,3,0.7091182702616456
homogeneous,V,0.5,5,7,100,0.6446114525386596
homogeneous,V,0.5,5,7,10,0.6791773961848874
homogeneous,V,0.5,5,7,3,0.6534638731947182
homogeneous,V,0.5,5,8,100,0.7158018719661442
homogeneous,V,0.5,5,8,10,0.7110063083528507
homogeneous,V,0.5,5,8,3,0.6615871710985101
homogeneous,V,0.5,5,9,100,0.7280442777452708
homogeneous,V,0.5,5,9,10,0.785478745698583
homogeneous,V,0.5,5,9,3,0.6812707625157475
homogeneous,V,0.5,5,10,100,0.6673076311402422
homogeneous,V,0.5,5,10,10,0.6988480052015614
homogeneous,V,0.5,5,10,3,0.7658130425597075
homogeneous,V,0.5,5,11,100,0.6641182209506916
homogeneous,V,0.5,5,11,10,0.7065690489000821
homogeneous,V,0.5,5,11,3,0.6247561969620957
homogeneous,V,0.5,5,12,100,0.7612281514819198
homogeneous,V,0.5,5,12,10,0.7812252511132591
homogeneous,V,0.5,5,12,3,0.6562643533048564
homogeneous,V,0.5,5,13,100,0.6820988695997456
homogeneous,V,0.5,5,13,10,0.6939023574783658
homogeneous,V,0.5,5,13,3,0.6627703651230205
homogeneous,V,0.5,5,14,100,0.7091717310855289
homogeneous,V,0.5,5,14,10,0.6809257492971394
homogeneous,V,0.5,5,14,3,0.7496396043946427
homogeneous,V,0.5,5,15,100,0.7138891532368451
homogeneous,V,0.5,5,15,10,0.7390680711647563
homogeneous,V,0.5,5,15,3,0.7907683156608838
homogeneous,V,0.5,5,16,100,0.7644197900908705
homogeneous,V,0.5,5,16,10,0.6126014002483494
homogeneous,V,0.5,5,16,3,0.7232948378633985
homogeneous,V,0.5,5,17,100,0.7572992647880514
homogeneous,V,0.5,5,17,10,0.6983072171507498
homogeneous,V,0.5,5,17,3,0.7400218913084482
homogeneous,V,0.5,5,18,100,0.7662938848234037
homogeneous,V,0.5,5,18,10,0.5994918487989244
homogeneous,V,0.5,5,18,3,0.6810088726228333
homogeneous,V,0.5,5,19,100,0.7546006551795448
homogeneous,V,0.5,5,19,10,0.7009799460533169
homogeneous,V,0.5,5,19,3,0.6887802473163143
homogeneous,V,0.5,5,20,100,0.7309515537647885
homogeneous,V,0.5,5,20,10,0.7264016284813096
homogeneous,V,0.5,5,20,3,0.6008836670784495
homogeneous,H,0.5,5,1,100,0.7768092704460419
homogeneous,H,0.5,5,1,10,0.7508140625105723
homogeneous,H,0.5,5,1,3,0.6769268762302285
homogeneous,H,0.5,5,2,100,0.7426570194228685
homogeneous,H,0.5,5,2,10,0.7392935723895325
homogeneous,H,0.5,5,2,3,0.4728389873105687
homogeneous,H,0.5,5,3,100,0.747456363330411
homogeneous,H,0.5,5,3,10,0.684697691855426
homogeneous,H,0.5,5,3,3,0.4988769603336597
homogeneous,H,0.5,5,4,100,0.7378555187516199
homogeneous,H,0.5,5,4,10,0.6522562647696598
homogeneous,H,0.5,5,4,3,0.6486505617461352
homogeneous,H,0.5,5,5,100,0.7638741891950858
homogeneous,H,0.5,5,5,10,0.6512107845298732
homogeneous,H,0.5,5,5,3,0.7059063475733868
homogeneous,H,0.5,5,6,100,0.7876224746849373
homogeneous,H,0.5,5,6,10,0.6639553310312727
homogeneous,H,0.5,5,6,3,0.7115850005845252
homogeneous,H,0.5,5,7,100,0.8015576680946822
homogeneous,H,0.5,5,7,10,0.5509302881775265
homogeneous,H,0.5,5,7,3,0.6300254298035932
homogeneous,H,0.5,5,8,100,0.7361810809859546
homogeneous,H,0.5,5,8,10,0.6299790787421325
homogeneous,H,0.5,5,8,3,0.5685719219266311
homogeneous,H,0.5,5,9,100,0.7793458585463651
homogeneous,H,0.5,5,9,10,0.54525239790986
homogeneous,H,0.5,5,9,3,0.6007020421069933
homogeneous,H,0.5,5,10,100,0.7149498730701491
homogeneous,H,0.5,5,10,10,0.7364949059671084
homogeneous,H,0.5,5,10,3,0.6846401048493442
homogeneous,H,0.5,5,11,100,0.733383691328114
homogeneous,H,0.5,5,11,10,0.584779270076141
homogeneous,H,0.5,5,11,3,0.5478156992313087
homogeneous,H,0.5,5,12,100,0.7007250987671776
homogeneous,H,0.5,5,12,10,0.6737004698889042
homogeneous,H,0.5,5,12,3,0.7278126446512176
homogeneous,H,0.5,5,13,100,0.7481608671957409
homogeneous,H,0.5,5,13,10,0.7015555427678285
homogeneous,H,0.5,5,13,3,0.5229937315572013
homogeneous,H,0.5,5,14,100,0.7161710521894029
homogeneous,H,0.5,5,14,10,0.5782747011186815
homogeneous,H,0.5,5,14,3,0.6237137097549336
homogeneous,H,0.5,5,15,100,0.6948110009771454
homogeneous,H,0.5,5,15,10,0.5674733436902873
homogeneous,H,0.5,5,15,3,0.5542590436809153
homogeneous,H,0.5,5,16,100,0.7644197900908705
homogeneous,H,0.5,5,16,10,0.6514647168491395
homogeneous,H,0.5,5,16,3,0.6739228043340503
homogeneous,H,0.5,5,17,100,0.7526559475798146
homogeneous,H,0.5,5,17,10,0.6287595141538782
homogeneous,H,0.5,5,17,3,0.6190850837590626
homogeneous,H,0.5,5,18,100,0.7662938848234037
homogeneous,H,0.5,5,18,10,0.6384827359344548
homogeneous,H,0.5,5,18,3,0.6584912605260018
homogeneous,H,0.5,5,19,100,0.7354431606522817
homogeneous,H,0.5,5,19,10,0.663354237906966
homogeneous,H,0.5,5,19,3,0.6418517800753001
homogeneous,H,0.5,5,20,100,0.7494652105134428
homogeneous,H,0.5,5,20,10,0.7001220582661204
homogeneous,H,0.5,5,20,3,0.5188136263620263
homogeneous,Hy,0.5,5,1,100,0.7577516998537192
homogeneous,Hy,0.5,5,1,10,0.6495868086950161
homogeneous,Hy,0.5,5,1,3,0.7924050882388065
homogeneous,Hy,0.5,5,2,100,0.7283073896062059
homogeneous,Hy,0.5,5,2,10,0.5847614999114128
homogeneous,Hy,0.5,5,2,3,0.7480903517524405
homogeneous,Hy,0.5,5,3,100,0.7643113726659856
homogeneous,Hy,0.5,5,3,10,0.5925804003150968
homogeneous,Hy,0.5,5,3,3,0.7509327007081708
homogeneous,Hy,0.5,5,4,100,0.7160295730626269
homogeneous,Hy,0.5,5,4,10,0.7154909882222265
homogeneous,Hy,0.5,5,4,3,0.6230174153422618
homogeneous,Hy,0.5,5,5,100,0.7692206847120143
homogeneous,Hy,0.5,5,5,10,0.6695848102185007
homogeneous,Hy,0.5,5,5,3,0.7096003443978492
homogeneous,Hy,0.5,5,6,100,0.7876224746849373
homogeneous,Hy,0.5,5,6,10,0.7019520514926361
homogeneous,Hy,0.5,5,6,3,0.5848843045565432
homogeneous,Hy,0.5,5,7,100,0.8015576680946822
homogeneous,Hy,0.5,5,7,10,0.5828656292552523
homogeneous,Hy,0.5,5,7,3,0.5063984003731832
homogeneous,Hy,0.5,5,8,100,0.7061696244110747
homogeneous,Hy,0.5,5,8,10,0.7608046208154174
homogeneous,Hy,0.5,5,8,3,0.725037557466887
homogeneous,Hy,0.5,5,9,100,0.7290750231128854
homogeneous,Hy,0.5,5,9,10,0.6548478467616703
homogeneous,Hy,0.5,5,9,3,0.5568431027614722
homogeneous,Hy,0.5,5,10,100,0.7532703184288388
homogeneous,Hy,0.5,5,10,10,0.703641364719122
homogeneous,Hy,0.5,5,10,3,0.7696531316900639
homogeneous,Hy,0.5,5,11,100,0.730906066831478
homogeneous,Hy,0.5,5,11,10,0.7474980397664592
homogeneous,Hy,0.5,5,11,3,0.5738028636434047
homogeneous,Hy,0.5,5,12,100,0.8017331575342647
homogeneous,Hy,0.5,5,12,10,0.6972690975983263
homogeneous,Hy,0.5,5,12,3,0.6272490109384766
homogeneous,Hy,0.5,5,13,100,0.746317083566874
homogeneous,Hy,0.5,5,13,10,0.714776905936938
homogeneous,Hy,0.5,5,13,3,0.5808122241852182
homogeneous,Hy,0.5,5,14,100,0.7276321513363845
homogeneous,Hy,0.5,5,14,10,0.5424394098191447
homogeneous,Hy,0.5,5,14,3,0.64072467653962
homogeneous,Hy,0.5,5,15,100,0.7889263765002634
homogeneous,Hy,0.5,5,15,10,0.6488039217137872
homogeneous,Hy,0.5,5,15,3,0.7502113819950995
homogeneous,Hy,0.5,5,16,100,0.7545160566072053
homogeneous,Hy,0.5,5,16,10,0.6066401676891441
homogeneous,Hy,0.5,5,16,3,0.7683404276862675
homogeneous,Hy,0.5,5,17,100,0.7526559475798146
homogeneous,Hy,0.5,5,17,10,0.6394073456355798
homogeneous,Hy,0.5,5,17,3,0.5645726514143665
homogeneous,Hy,0.5,5,18,100,0.8030963861512234
homogeneous,Hy,0.5,5,18,10,0.7309997829715041
homogeneous,Hy,0.5,5,18,3,0.6067545711753403
homogeneous,Hy,0.5,5,19,100,0.7863540618413184
homogeneous,Hy,0.5,5,19,10,0.6438473129631622
homogeneous,Hy,0.5,5,19,3,0.6189148757365089
homogeneous,Hy,0.5,5,20,100,0.7096513625494699
homogeneous,Hy,0.5,5,20,10,0.5889221179609246
homogeneous,Hy,0.5,5,20,3,0.7167545602789163
mild,V,0.5,5,1,100,0.7577516998537192
mild,V,0.5,5,1,10,0.6129715806598103
mild,V,0.5,5,1,3,0.777289576461805
mild,V,0.5,5,2,100,0.7315721456818383
mild,V,0.5,5,2,10,0.7175404406059165
mild,V,0.5,5,2,3,0.7586298064048627
mild,V,0.5,5,3,100,0.6875968743299955
mild,V,0.5,5,3,10,0.6760597674326508
mild,V,0.5,5,3,3,0.6886047581764664
mild,V,0.5,5,4,100,0.6754685597353335
mild,V,0.5,5,4,10,0.6859472172078745
mild,V,0.5,5,4,3,0.6968549904597888
mild,V,0.5,5,5,100,0.6769984373823931
mild,V,0.5,5,5,10,0.6983711609762794
mild,V,0.5,5,5,3,0.6744988240706484
mild,V,0.5,5,6,100,0.7644250386107916
mild,V,0.5,5,6,10,0.7030617831341481
mild,V,0.5,5,6,3,0.7147945206643908
mild,V,0.5,5,7,100,0.8015576680946822
mild,V,0.5,5,7,10,0.6463271101187562
mild,V,0.5,5,7,3,0.6172026509875335
mild,V,0.5,5,8,100,0.6633316455606152
mild,V,0.5,5,8,10,0.7405414160359025
mild,V,0.5,5,8,3,0.7702440917559726
mild,V,0.5,5,9,100,0.7296375699091163
mild,V,0.5,5,9,10,0.7126318007196737
mild,V,0.5,5,9,3,0.6782570765721474
mild,V,0.5,5,10,100,0.6968916080937136
mild,V,0.5,5,10,10,0.7664717812177197
mild,V,0.5,5,10,3,0.7119148264747083
mild,V,0.5,5,11,100,0.6821321436384118
mild,V,0.5,5,11,10,0.7112240153419525
mild,V,0.5,5,11,3,0.6384821596568198
mild,V,0.5,5,12,100,0.7208255184934739
mild,V,0.5,5,12,10,0.6625995488818596
mild,V,0.5,5,12,3,0.6731798958179108
mild,V,0.5,5,13,100,0.706029856501315
mild,V,0.5,5,13,10,0.6689036325366186
mild,V,0.5,5,13,3,0.7012424038914158
mild,V,0.5,5,14,100,0.6781480352903055
mild,V,0.5,5,14,10,0.6155270965561882
mild,V,0.5,5,14,3,0.6698654758725934
mild,V,0.5,5,15,100,0.7560076280872922
mild,V,0.5,5,15,10,0.591760402913826
mild,V,0.5,5,15,3,0.6657350852179138
mild,V,0.5,5,16,100,0.6980093763123324
mild,V,0.5,5,16,10,0.6449577825517558
mild,V,0.5,5,16,3,0.7173279012401339
mild,V,0.5,5,17,100,0.6817854680018036
mild,V,0.5,5,17,10,0.713137019442955
mild,V,0.5,5,17,3,0.6779171458269898
mild,V,0.5,5,18,100,0.632236528715048
mild,V,0.5,5,18,10,0.761682977890516
mild,V,0.5,5,18,3,0.6581210730539405
mild,V,0.5,5,19,100,0.742604800010225
mild,V,0.5,5,19,10,0.6466677250516337
mild,V,0.5,5,19,3,0.7303017052946259
mild,V,0.5,5,20,100,0.7197310335074811
mild,V,0.5,5,20,10,0.7343289341515817
mild,V,0.5,5,20,3,0.6620639849996589
mild,H,0.5,5,1,100,0.7236388042194495
mild,H,0.5,5,1,10,0.6415161364148129
mild,H,0.5,5,1,3,0.5639957857002097
mild,H,0.5,5,2,100,0.7298830666918456
mild,H,0.5,5,2,10,0.5762525215962654
mild,H,0.5,5,2,3,0.628258418326402
mild,H,0.5,5,3,100,0.7322258971267277
mild,H,0.5,5,3,10,0.5319671609320196
mild,H,0.5,5,3,3,0.5387901652581998
mild,H,0.5,5,4,100,0.6866353708668075
mild,H,0.5,5,4,10,0.6917494282019498
mild,H,0.5,5,4,3,0.6328317781853043
mild,H,0.5,5,5,100,0.7757717286832498
mild,H,0.5,5,5,10,0.5789746507780317
mild,H,0.5,5,5,3,0.648668940180693
mild,H,0.5,5,6,100,0.7267205442355109
mild,H,0.5,5,6,10,0.6016152479817657
mild,H,0.5,5,6,3,0.6684941994150532
mild,H,0.5,5,7,100,0.7483954463250015
mild,H,0.5,5,7,10,0.6856171892244031
mild,H,0.5,5,7,3,0.6159408604884122
mild,H,0.5,5,8,100,0.8003920922289061
mild,H,0.5,5,8,10,0.6521643467889053
mild,H,0.5,5,8,3,0.6682658576011475
mild,H,0.5,5,9,100,0.7359652497984059
mild,H,0.5,5,9,10,0.6586829999842255
mild,H,0.5,5,9,3,0.6450588050123258
mild,H,0.5,5,10,100,0.7523707503396595
mild,H,0.5,5,10,10,0.6846060499842034
mild,H,0.5,5,10,3,0.5880597874658504
mild,H,0.5,5,11,100,0.7437816138932648
mild,H,0.5,5,11,10,0.5876794672494793
mild,H,0.5,5,11,3,0.6852510431625923
mild,H,0.5,5,12,100,0.777345321702043
mild,H,0.5,5,12,10,0.6263895944531438
mild,H,0.5,5,12,3,0.7034169502747837
mild,H,0.5,5,13,100,0.7428940530737779
mild,H,0.5,5,13,10,0.7401577498063562
mild,H,0.5,5,13,3,0.5631837911054214
mild,H,0.5,5,14,100,0.7386989779591179
mild,H,0.5,5,14,10,0.7208015521404386
mild,H,0.5,5,14,3,0.6505184239916921
mild,H,0.5,5,15,100,0.7217900957525996
mild,H,0.5,5,15,10,0.6730436782351537
mild,H,0.5,5,15,3,0.7040091316579187
mild,H,0.5,5,16,100,0.7644197900908705
mild,H,0.5,5,16,10,0.647767544322398
mild,H,0.5,5,16,3,0.5736395368668811
mild,H,0.5,5,17,100,0.7652522888562273
mild,H,0.5,5,17,10,0.6307133958406017
mild,H,0.5,5,17,3,0.6751548451842512
mild,H,0.5,5,18,100,0.8030963861512234
mild,H,0.5,5,18,10,0.5704615397662425
mild,H,0.5,5,18,3,0.6928014872333794
mild,H,0.5,5,19,100,0.7773898506136178
mild,H,0.5,5,19,10,0.6471997926468923
mild,H,0.5,5,19,3,0.5602334212407676
mild,H,0.5,5,20,100,0.7648986535627905
mild,H,0.5,5,20,10,0.5025495635927297
mild,H,0.5,5,20,3,0.6304337814541727
mild,Hy,0.5,5,1,100,0.7153359204426527
mild,Hy,0.5,5,1,10,0.7556999501418249
mild,Hy,0.5,5,1,3,0.6423384590716009
mild,Hy,0.5,5,2,100,0.7426570194228685
mild,Hy,0.5,5,2,10,0.6523482440314781
mild,Hy,0.5,5,2,3,0.6467549170621772
mild,Hy,0.5,5,3,100,0.7497747852457491
mild,Hy,0.5,5,3,10,0.695884973420444
mild,Hy,0.5,5,3,3,0.6569182979444771
mild,Hy,0.5,5,4,100,0.7396284155448821
mild,Hy,0.5,5,4,10,0.6604043713629644
mild,Hy,0.5,5,4,3,0.6548261073446897
mild,Hy,0.5,5,5,100,0.7757717286832498
mild,Hy,0.5,5,5,10,0.627064363220628
mild,Hy,0.5,5,5,3,0.6338097985218862
mild,Hy,0.5,5,6,100,0.7876224746849373
mild,Hy,0.5,5,6,10,0.5805913627861259
mild,Hy,0.5,5,6,3,0.7433043576427211
mild,Hy,0.5,5,7,100,0.7165581496875395
mild,Hy,0.5,5,7,10,0.6628262759511643
mild,Hy,0.5,5,7,3,0.7048180209680032
mild,Hy,0.5,5,8,100,0.7061696244110747
mild,Hy,0.5,5,8,10,0.6397858300270656
mild,Hy,0.5,5,8,3,0.6105759643551879
mild,Hy,0.5,5,9,100,0.7138442623017841
mild,Hy,0.5,5,9,10,0.7109363866529876
mild,Hy,0.5,5,9,3,0.6226160215163979
mild,Hy,0.5,5,10,100,0.7502244411150525
mild,Hy,0.5,5,10,10,0.6943120401162539
mild,Hy,0.5,5,10,3,0.6719199373944291
mild,Hy,0.5,5,11,100,0.7071460693870839
mild,Hy,0.5,5,11,10,0.7750641102417666
mild,Hy,0.5,5,11,3,0.7014561756131814
mild,Hy,0.5,5,12,100,0.7549689116109671
mild,Hy,0.5,5,12,10,0.6350829266212694
mild,Hy,0.5,5,12,3,0.6903614734551444
mild,Hy,0.5,5,13,100,0.6896032166444002
mild,Hy,0.5,5,13,10,0.7237510654173469
mild,Hy,0.5,5,13,3,0.743202971337228
mild,Hy,0.5,5,14,100,0.7373859626199596
mild,Hy,0.5,5,14,10,0.7679110252649423
mild,Hy,0.5,5,14,3,0.7472802390465361
mild,Hy,0.5,5,15,100,0.7418449106712971
mild,Hy,0.5,5,15,10,0.6794081400099213
mild,Hy,0.5,5,15,3,0.57078966423064
mild,Hy,0.5,5,16,100,0.7479698493955518
mild,Hy,0.5,5,16,10,0.643017547487722
mild,Hy,0.5,5,16,3,0.684706213238548
mild,Hy,0.5,5,17,100,0.6945925786469458
mild,Hy,0.5,5,17,10,0.7243580447017557
mild,Hy,0.5,5,17,3,0.7560892534099185
mild,Hy,0.5,5,18,100,0.8030963861512234
mild,Hy,0.5,5,18,10,0.5715771339933337
mild,Hy,0.5,5,18,3,0.6650974593889605
